"","title","location","design","size","modelling_used","internal_validation","ROB","exposures","outcomes","temporal_ordering","mediators","unmeasured_biases","causal_framework","modelling_type"
"17","Bloodstream infections during the onset of necrotizing enterocolitis and their relation with the pro-inflammatory response, gut wall integrity and severity of disease in NEC","Netherlands and Austria (Groningen, Vienna)","Prospective observational (two-centre)","57","Descriptive statistics; correlations; comparative tests","Not applicable (no predictive model)","Moderate - prospective but small sample; no prediction model","Bloodstream infection status; plasma I-FABP; IL-8 levels","NEC severity (Bell stage); mortality","Yes","I-FABP; IL-8 (inflammatory cascade)","Low incidence of BSI; limited power","Implicit pathophysiology discussion; no formal framework","Other (non-modelling) approaches used"
"18","C-reactive protein in early-onset neonatal sepsis - a cutoff point for CRP value as a predictor of early-onset neonatal sepsis","Israel (Tel Aviv)","Retrospective observational cohort","400","Logistic regression (CRP as predictor); ROC","None","High - retrospective, single-centre; no validation","First CRP measurement at 6-8-h","Clinical early-onset neonatal sepsis (cEONS)","No","No","Physiologic CRP rise; maternal factors; low sensitivity","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"19","C-reactive protein to platelet ratio as an early biomarker in differentiating neonatal late-onset sepsis in neonates with pneumonia","China (Zhengzhou)","Retrospective single-centre observational","1385","Multivariate logistic regression; ROC analysis","None","High - retrospective; no validation","C-reactive protein to platelet ratio (CPR); CRP; platelet count","Late-onset sepsis among neonates with pneumonia","No","No","Retrospective data; timing variability; selection bias","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"20","C-reactive protein-to-albumin ratio as an early biomarker to identify sepsis in neonates with pneumonia","China (Zhengzhou)","Retrospective hospital-based observational","847","Multivariate logistic regression; ROC","None","High - retrospective; no validation","CRP-to-albumin ratio (CAR)","Sepsis among neonates with pneumonia","No","No","Retrospective data; biomarker timing; single centre","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"21","Can sTREM-1 predict septic shock and death in late-onset neonatal sepsis? A pilot study","Mexico (Monterrey)","Prospective cross-sectional pilot study","71","ROC curve analysis","None","High - small sample; exploratory; no validation","Plasma sTREM-1 level on diagnosis","Progression to septic shock and/or death within 7-days","Yes","No","Small sample; detection limits; single setting","No explicit causal framework","Other (non-modelling) approaches used"
"22","Chitinase-3-like 1 is a biomarker of acute kidney injury and mortality in paediatric severe malaria","Uganda (Jinja)","Prospective cohort (secondary analysis of RCT)","159","Generalized linear models; mixed-effects models","None","Moderate - prospective cohort; no validation","Plasma CHI3L1 levels (daily for 4-days)","Acute kidney injury; in-hospital and 6-month mortality","Yes","No","Secondary analysis; potential confounding; intervention effects","No explicit causal framework","General/Mixed linear model"
"23","Clinical Indicators of Late-Onset Sepsis Workup in Very Low-Birth-Weight Infants in the NICU","USA (Cleveland, Ohio)","Retrospective matched case-control","174","Binary logistic regression (clinical indicators)","None","High - retrospective; single centre; no validation","Hypothermia; apnea; desaturation; bradycardia; other clinical signs","Culture-positive late-onset sepsis workup","No","No","Possible CoNS contamination; small cohort","No explicit causal framework","Logistic regression"
"24","Clinical Features of and Risk Factors for Hydrocephalus in Childhood Bacterial Meningitis","China (Shenyang)","Retrospective hospital cohort","267","Multivariate logistic regression","None","High - retrospective; single centre; no validation","Rural residence; altered consciousness; prior antibiotics; CSF protein >2-g/L; CRP >100-mg/L; dexamethasone","Hydrocephalus following bacterial meningitis","Yes","No","Retrospective data; incomplete follow-up","No explicit causal framework","Logistic regression"
"25","Clinical and Laboratory Predictors of 30-Day Mortality in Severe Acute Malnourished Children with Severe Pneumonia","Bangladesh (Dhaka)","Prospective cohort","191","Multivariable logistic regression; random forest (five-fold cross-validation)","Internal cross-validation (AUC 0.83)","Moderate - prospective; single centre; limited validation","Sex; LAZ < -4; PMNL %; CRP; PCT; hypoxia","30-day all-cause mortality","Yes","No","Small sample; single centre; biomarkers only at admission","No explicit causal framework","Logistic regression; Random forest"
"26","Classification of Invasive Bloodstream Infections and Plasmodium falciparum Malaria Using Autoantibodies as Biomarkers","Ghana (Ashanti Region)","Cross-sectional diagnostic biomarker study","75","Random forest (20-000 trees); clustering","Out-of-bag error and repeated marker selection (100 runs)","Moderate - small sample; internal validation only","Protein microarray of 9345 autoantibodies (8 selected)","Disease class (malaria vs bacteremia)","No","No","Misclassification of NTS cases; batch effects","No explicit causal framework","Random forest; Clustering"
"27","Circadian Variation of Plasminogen-Activator-Inhibitor-1 Levels in Children with Meningococcal Sepsis","Netherlands (Rotterdam)","Retrospective analysis of prospective cohort","184","Descriptive statistics; ANOVA; correlation","Not applicable (no predictive model)","Moderate - observational; subset measurements; no validation","Admission time block; plasma PAI-1 level","Illness severity scores; death; amputations/skin grafts","Yes","PAI-1 as mediator of coagulopathy (discussed)","Subset assay; circadian confounding","No explicit causal framework","Other (non-modelling) approaches used"
"28","Clinical Value of Serum Interleukin18 in Neonatal Sepsis Diagnosis and Mortality Prediction","China (Zhengzhou)","Prospective casecontrol","122","Multivariate logistic regression; ROC (AUC0.77)","None","Moderate  prospective, singlecentre; no validation","Serum IL18; CRP; vitals","Neonatal sepsis diagnosis; inhospital mortality","No","No","Small sample; single centre","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"29","Clinical value of procalcitonintoalbumin ratio for identifying sepsis in neonates with pneumonia","China (Zhengzhou)","Retrospective hospital cohort","912","Multivariate logistic regression; ROC (AUC0.72)","None","High  retrospective; no validation","Procalcitonintoalbumin ratio; CRP; albumin","Sepsis among neonates with pneumonia","No","No","Retrospective data; single centre","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"30","Clinical Value of Laboratory Biomarkers for the Diagnosis and Early Identification of CulturePositive Sepsis in Neonates","China (Guangzhou)","Retrospective cohort","298","Multivariate logistic regression; nomogram; fivefold crossvalidation","Internal crossvalidation (fivefold)","Moderate  retrospective; internal validation only","CRP; PLT; BUN; conjugated bilirubin; RDW; MPV","Neonatal sepsis (overall and culturepositive)","No","No","Single centre; retrospective","No explicit causal framework","Logistic regression; Risk-scoring models; Other (non-modelling) approaches used"
"31","Clinical Prognosis in Neonatal Bacterial Meningitis: The Role of Cerebrospinal Fluid Protein","China (Shanghai)","Retrospective multicentre cohort","232","Multivariate logistic regression; ROC (CSF protein cutoff)","None","High  retrospective; no validation","CSF protein concentration; poor feeding; pneumonia","Poor clinical outcome (GOS14)","Yes","No","Retrospective data; variability in CSF","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"32","Clinical Prediction of Early Onset Sepsis in Preterm Neonates","Ukraine (Poltava)","Retrospective cohort","152","Stepwise logistic regression; predictive score","None","High  retrospective; no validation","Gestational age; placenta changes; Apgar1min; monocytes>6.5%; maternal abortions; PROM","Earlyonset sepsis","Yes","No","Limited culture confirmation; retrospective","No explicit causal framework","Logistic regression; Risk-scoring models"
"33","Correlation analysis of serum inflammatory cytokine levels and immune markers in children with severe hand, foot and mouth disease","China (Hangzhou)","Retrospective observational cohort","200","Multivariate logistic regression","None","High  retrospective, singlecentre; no validation","Serum IL6, IL10, TNF, IFN; WBC; neutrophils; IgG, IgM","Severe versus mild HFMD","No","No","Single centre; retrospective design","No explicit causal framework","Logistic regression"
"34","Cord blood procalcitonin level and earlyonset sepsis in extremely preterm infants","France (Paris)","Prospective cohort","186","Logistic regression; ROC analysis","None","Moderate  prospective, singlecentre; no validation","Cord blood procalcitonin concentration","Earlyonset neonatal sepsis","Yes","No","Sensitivity limitations; single centre","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"35","Cord blood presepsin as a predictor of earlyonset neonatal sepsis in term and preterm newborns","Italy (Rome)","Prospective pilot study","93","ROC analysis; correlation statistics","None","Moderate  prospective, small sample; no validation","Cord blood presepsin level","Clinical earlyonset neonatal sepsis","Yes","No","Low culturepositive cases; single centre","No explicit causal framework","Other (non-modelling) approaches used"
"36","Combined detection of monocyte distribution width and procalcitonin for diagnosing and prognosing neonatal sepsis","China (Lianyungang, Jiangsu)","Retrospective diagnostic cohort","69","ROC analysis; Cox regression","None","High  retrospective, small sample; no validation","Monocyte distribution width; procalcitonin; CRP","Neonatal sepsis diagnosis; 28day mortality","Yes","No","Single centre; retrospective design","No explicit causal framework","Other (non-modelling) approaches used; Cox PH model"
"37","Clinical value of TAT, PIC and tPAIC as predictive markers for severe sepsis in pediatric patients","China (Wuhan)","Singlecentre observational cohort","148","Logistic regression; ROC analysis","None","High  observational; no validation","Serum TAT; PIC; tPAIC levels","Progression from sepsis to severe sepsis","Yes","No","Single centre; limited external validity","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"38","Development and validation of a model for prediction of septic shock in neonates with sepsis","China (Wuhan)","Retrospective hospital cohort (training/validation split)","406","Multivariate logistic regression; nomogram","Splitsample (70/30); AUC 0.873 train, 0.920 validation","Moderate  retrospective, singlecentre; internal split only","Sex; CRP 6h; serum amyloidA 6h; WBC 6h; PLT 6h; Ca 6h","Septic shock vs no shock within 24h","Yes","No","Single centre; measurementtiming variability","No explicit causal framework","Logistic regression; Risk-scoring models"
"39","Development and validation of a diagnostic model for early differentiation of sepsis and noninfectious SIRS in critically ill children","Germany (Hannover)","Secondary analysis of prospective RCT data (diagnostic model)","289","Random Forest (448 predictors)","Temporal splitsample; AUC 0.78 in test set","Moderate  singlecentre; internal validation only","PICU stay length; central line; temperature; prior episodes; IL6; PLT; PCT; CRP","Sepsis vs noninfectious SIRS","Yes","No","Single centre; missingdata imputation; misclassification","No explicit causal framework","Random forest"
"40","Developing a Machine Learning System for Identification of Severe Hand, Foot, and Mouth Disease from Electronic Medical Record Data","China (Guangzhou)","Retrospective EMR cohort","2532","Random Forest with 10fold CV and test set","10fold CV plus 30% holdout test (AUC 0.916)","Moderate  retrospective; internal validation only","16 clinical/lab variables (e.g., LDH, CKMB, glucose, vomiting)","Severe vs mild HFMD","Yes","No","Single centre; EMR data quality; imputation bias","No explicit causal framework","Random forest"
"41","Cytokine profile distinguishes children with Plasmodium falciparum malaria from those with bacterial bloodstream infections","Ghana (Ashanti Region)","Crosssectional casecontrol diagnostic study","68","Random Forest; CART","Train/test split (75/25); outofbag error","Moderate  small sample; internal validation only","Serum cytokine panel (eg, haptoglobin, sFasL, C2)","Malaria vs bacterial BSI classification","No","No","Small sample; batch effects; endemic variability","No explicit causal framework","Random forest; Decision tree / CART"
"42","Cytokine profile as diagnostic and prognostic factor in neonatal sepsis","Mexico (Mrida)","Prospective cohort of highrisk neonates","96","ROC analysis; relative risks","None","Moderate  prospective; small sample; no validation","Baseline serum IL6, IL10, GCSF, MCP1, IFN","Development of sepsis; early/late; mortality or sequelae","Yes","No","Small sample; single centre; assay limitations","No explicit causal framework","Other (non-modelling) approaches used"
"43","Diagnostic value of elevated CXCR4 and CXCL12 in neonatal sepsis","Turkey (Ankara and Istanbul)","Prospective casecontrol (lateonset)","50","ROC analysis; univariate logistic regression","None","High  prospective, small sample; no validation","Serum CXCR4, CXCL12, IL6; I/T ratio","Lateonset neonatal sepsis diagnosis","No","No","Small sample; biomarker assay variability","No explicit causal framework","Other (non-modelling) approaches used; Logistic regression"
"44","Diagnostic utility of biomarkers in diagnosis of early stages of neonatal sepsis in NICU in Egypt","Egypt (Cairo)","Crosssectional diagnostic study","116","ROC curve analysis; sensitivity/specificity","None","High  crosssectional; no validation","Serum CRP, TNF, IL6, IL1","Neonatal sepsis (cultureproven and suspected)","No","No","Cutoff choice; single centre","No explicit causal framework","Other (non-modelling) approaches used"
"45","Diagnostic reliability of salivary Creactive protein as a noninvasive biomarker of neonatal sepsis","India (Tamil Nadu)","Analytical crosssectional","136","Spearman correlation; ROC analysis","None","High  crosssectional; no validation","Salivary CRP concentration","Serum CRP 10mg/L; culturepositive sepsis","No","No","Nonstandard saliva sampling; single centre","No explicit causal framework","Other (non-modelling) approaches used"
"46","Diagnostic markers of serious bacterial infections in infants aged 29 to 90days","South Korea (Bucheon)","Retrospective emergencydepartment cohort","199","Multivariate logistic regression; ROC","None","High  retrospective, single centre; no validation","NLR; PCT; CRP; WBC; ANC","Serious bacterial infection (UTI, bacteremia, meningitis)","Yes","No","Culture contamination; missing data exclusions","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"47","Development and validation of a mortality risk model for pediatric sepsis","China (Hunan)","Retrospective PICU cohort (model development)","788","Multivariate logistic regression; splitsample validation","Internal split (75/25); AUC 0.85","Moderate  retrospective; internal validation only","BNP; albumin; total bilirubin; Ddimer; lactate; MV within 24h","Inhospital mortality","Yes","No","Single centre; retrospective data quality","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"48","Efficacy and safety of applying a neonatal earlyonset sepsis risk calculator in China","China (Chongqing)","Retrospective casecontrol","501","Multivariate logistic regression; ROC; combined EOS risk calculator  biomarkers","None (apparent performance only)","High  retrospective, singlecentre; no validation","EOS risk calculator score; PCT; CBC indices; CRP","Earlyonset sepsis diagnosis","No","No","Retrospective design; inclusion criteria; biomarker timing","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used; Risk-scoring models"
"49","Economic and diagnostic biomarker tests of neonatal sepsis: a prospective study from a tertiary care hospital in Nepal","Nepal (Kathmandu)","Prospective crosssectional","171","Logistic regression; ROC analysis of RDW, MPV, PDW, CRP, ESR","None","High  crosssectional; no validation","RDW; MPV; PDW; CRP; ESR; demographic factors","Cultureconfirmed neonatal sepsis","No","No","Culture sensitivity; singlecentre LMIC context","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"50","Earlyonset neonatal sepsis: inflammatory biomarkers and microRNA as potential diagnostic tools in preterm newborns","Czech Republic (Prague, Usti nad Labem)","Prospective pilot casecontrol","20","Differential expression analysis; descriptive statistics","None","Moderate  prospective, very small sample; exploratory","Cord IL18; peripheral VEGFA; circulating microRNAs","Culturepositive earlyonset sepsis","Yes","No","Small sample; sequencing variability","No explicit causal framework","Differential expression; Other (non-modelling) approaches used"
"51","Dysbiosis anticipating necrotizing enterocolitis in very premature infants","United Kingdom (London)","Prospective longitudinal cohort","369","Logistic regression; Random Forest on 16S OTUs","None","Moderate  observational; internal analysis only","Gut microbiota OTUs (Clostridium perfringens, Klebsiella); duration CPAP oxygen","Development of NEC (Bell stage 2)","Yes","No","Sample handling; sequencing batch effects","Implicit microbiomedisease model","Logistic regression; Random forest"
"52","Diagnostic value of umbilical cord blood interleukin6 level in premature infants with earlyonset sepsis","China (Beijing)","Prospective cohort","188","ROC curve; logistic regression","None","Moderate  prospective; no validation","Cord blood IL6 concentration","Earlyonset sepsis in preterm infants","Yes","No","Few EOS cases; single centre","No explicit causal framework","Other (non-modelling) approaches used; Logistic regression"
"53","Efficacy and safety of applying a neonatal earlyonset sepsis risk calculator in China","China (Chongqing)","Retrospective casecontrol","501","Multivariate logistic regression; ROC; combined EOS risk calculator  biomarkers","None (apparent performance only)","High  retrospective, singlecentre; no validation","EOS risk calculator score; PCT; CBC indices; CRP","Earlyonset sepsis diagnosis","No","No","Retrospective design; inclusion criteria; biomarker timing","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used; Risk-scoring models"
"54","Explaining changes in child health inequality in the run up to the 2015 Millennium Development Goals: the case of Zambia","Zambia (national DHS)","Repeated crosssectional survey decomposition","18330","Multilevel logistic regression; concentration index; Oaxaca decomposition","None","Moderate  survey data; observational; no validation","Wealth index; maternal education; birth order; breastfeeding; facility delivery; maternal anthropometrics","Stunting (HAZ<2); fever in past 2weeks","No","No","Recall bias; sampling error; crosssectional design","Concentration index inequality framework","Logistic regression; Other (non-modelling) approaches used; Oaxaca decomposition"
"55","Establishment and validation of a multivariate predictive scoring model for intravenous immunoglobulinresistant Kawasaki disease: a study of children from two centres in China","China (Wuhan and Beijing)","Retrospective multicentre cohort (training  external validation)","1026","Binary logistic regression; 3item scoring model","Internal training; external validation (AUC 0.84)","Moderate  retrospective; external validation present","Serum total bilirubin 12.8mol/L; NLR 5; PNI 52.4","IVIGresistant Kawasaki disease","Yes","No","Variable cutoffs; retrospective data","No explicit causal framework","Logistic regression; Risk-scoring models"
"56","Enriching clinical trials enrolling children with cerebral malaria using admission demographics, physical examination and pointofcare testing results","Malawi (Blantyre)","Retrospective casecontrol prognostic analysis","1674","Multivariate logistic regression; ROC (AUC 0.71)","None","Moderate  retrospective; no validation","Blantyre Coma Score; deep breathing; blood lactate","Inhospital mortality; neurologic disability at discharge","Yes","No","Admission bias; missing variables","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"57","Elevated plasma interleukin8 as a risk factor for mortality in children presenting with cerebral malaria","Benin (Cotonou and AbomeyCalavi)","Prospective observational cohort","70","Univariate and multivariate logistic regression","None","Moderate  prospective; small sample; no validation","Admission plasma IL8; other cytokines (TNF, IL1, IL10, CXCL9)","Inhospital mortality","Yes","No","Small sample; limited culture exclusion","No explicit causal framework","Logistic regression"
"58","Hydrogen sulfide in exhaled gases from ventilated septic neonates and children: A preliminary report","United Kingdom (London)","Prospective observational casecontrol","40","Descriptive statistics; MannWhitney test","None","Moderate  prospective; small sample; no validation","Exhaled HS concentration (ppb)","Presence and trajectory of sepsis","Yes","No","Small sample; device measurement variation","No explicit causal framework","Other (non-modelling) approaches used"
"59","Housing and child health in subSaharan Africa: A crosssectional analysis","33 SSA countries","Crosssectional pooled DHS/MIS surveys","824694","Conditional logistic regression; randomeffects metaanalysis","None","Moderate  crosssectional; survey secondary data","Improved vs unimproved housing features","Malaria infection; diarrhoea; ARI; stunting; wasting; underweight; anaemia","No","No","Residual socioeconomic confounding; selfreport bias","Concentrationindex inequality framework","Logistic regression; Random-effects meta-analysis"
"60","Higher blood urea nitrogen level is independently linked with the presence and severity of neonatal sepsis","China (Henan)","Retrospective hospital cohort","925","Multivariate logistic regression; ROC","None","High  retrospective; single centre; no validation","Blood urea nitrogen tertiles; PCT; hsCRP","Neonatal sepsis and severe sepsis status","No","No","Retrospective design; control selection","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"61","High immunoglobulinE level is associated with increased readmission in children with bronchopneumonia","China (Shanghai)","Retrospective cohort","1099","Multivariate logistic regression","None","High  retrospective; single centre; no validation","Serum IgE categories; asthma history","Unplanned readmission within 12months","Yes","No","Residual confounding; missing outpatient data","No explicit causal framework","Logistic regression"
"62","Heparinbinding protein: A prognostic biomarker associated with severe or complicated communityacquired pneumonia in children","China (Zhejiang and Shanghai)","Retrospective multicentre cohort","125","Multivariate logistic regression; ROC; nomogram","None","Moderate  retrospective; small sample; no external validation","Serum HBP quartiles; LDH; infection type","Severe or complicated CAP; poor prognosis","Yes","No","Variable assay timing; retrospective data","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used; Risk-scoring models"
"63","Heparinbinding protein in critically ill children with severe communityacquired pneumonia","China (Hunan)","Prospective ICU cohort","157","Logistic regression; ROC","None","Moderate  prospective; single centre; no validation","Admission plasma HBP; IL6; Ddimer","Development of respiratory failure; progression to sepsis","Yes","No","Single centre; limited sample size","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"64","Glomerular filtration rate in sick neonates: A focus on cystatinC","Nigeria (Bauchi)","Hospital descriptive study","173","Correlation analyses; comparison with inulin reference","None","Moderate  observational; no validation","Serum cystatinC; creatinine; clinical diagnoses","Estimated GFR accuracy vs inulin","Yes","No","Assay interference; single centre","No explicit causal framework","Other (non-modelling) approaches used"
"65","Fibrinogen as a prognostic predictor in pediatric patients with sepsis: A database study","China (Shanghai)","Retrospective PICU database (train/test)","819","Multivariate logistic regression; ROC; validation set","Temporal split validation; external 1year dataset","Moderate  retrospective; internal and temporal validation","Admission fibrinogen categories; lactate","Inhospital mortality","Yes","No","Database missing data; single institution","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"66","Febrile urinary tract infection in infants less than 3months of age","Spain (Basque Country and Valladolid)","Secondary analysis of prospective registry","2850","Multivariate logistic regression","None","Moderate  observational registry; no validation","Renal/urological history; fever 39C; poor feeding; biomarkers","UTI; secondary invasive bacterial infection","Yes","No","Registry heterogeneity; partial data","No explicit causal framework","Logistic regression"
"67","Factors associated with tuberculosis infection and antimycobacterial immune responses among fiveyearolds BCGimmunised at birth in Entebbe, Uganda","Uganda (Entebbe)","Prospective birth cohort","1023","Multivariable logistic regression; linear regression of cytokines","None","Moderate  cohort; no validation","Urban residence; TB contact; maternal factors; helminths; nutrition","Latent TB infection (IGRA); cytokine responses","Yes","No","Loss to followup; assay variability","No explicit causal framework","Logistic regression; General/Mixed linear model"
"68","Interleukin35: a novel candidate biomarker to diagnose earlyonset sepsis in neonates","China (Chongqing)","Prospective cohort","157","ROC analysis; univariate comparisons","None","Moderate  prospective; single centre; no validation","Serum IL35; CRP; PCT; WBC","Earlyonset neonatal sepsis diagnosis","Yes","No","Single centre; culture sensitivity","No explicit causal framework","Other (non-modelling) approaches used"
"69","Integration of Mendelian Randomization to explore genetic influences of pediatric sepsis","China (public datasets)","Secondary bioinformatic MR study","300","Differential expression; twosample MR; ROC","External dataset validation","Moderate  in silico study; relies on public data","Gene expression of RGL4, ATP9A, MAP3K7CL, DDX11L2; SNP instruments","Sepsis risk prediction; immune infiltration","No","Immune cell infiltration","Batch effects; MR pleiotropy","MR causal inference model","Differential expression; Two-sample MR; Other (non-modelling) approaches used"
