"","Characteristic","Overall (N = 3379)","Non-Severe (N = 638)","Probable Non-Severe (N = 779)","Probable Severe (N = 1829)","Onset > 24h (N = 33)","Onset < 24h (N = 100)","p-value"
"30","Parenteral Treatment Before Enrolment","367 (10.9%)","0 (0.0%)","95 (12.2%)","194 (10.6%)","22 (66.7%)","56 (56.0%)","<0.001"
"31","Lethargy","820 (24.3%)","69 (10.8%)","195 (25.1%)","495 (27.1%)","13 (39.4%)","48 (48.5%)","<0.001"
"32","WHO Pneumonia","1018 (30.1%)","66 (10.3%)","194 (24.9%)","673 (36.8%)","21 (63.6%)","64 (64.0%)","<0.001"
"33","Sought Care Prior to Presentation","1742 (51.6%)","253 (39.7%)","388 (49.8%)","1029 (56.3%)","11 (33.3%)","61 (61.0%)","<0.001"
"34","Procalcitonin","0.3 (0.2, 0.8)","0.2 (0.2, 0.4)","0.3 (0.2, 0.7)","0.4 (0.2, 1.0)","0.7 (0.4, 2.3)","0.9 (0.5, 4.5)","<0.001"
"35","Respiratory Rate (breaths/min)","38.0 (32.0, 47.0)","35.0 (30.0, 40.0)","37.0 (31.0, 46.0)","40.0 (33.0, 50.0)","60.0 (50.0, 65.0)","50.0 (38.0, 65.0)","<0.001"
"36","Convulsions","430 (12.7%)","4 (0.6%)","131 (16.9%)","281 (15.4%)","4 (12.1%)","10 (10.1%)","<0.001"
"37","WHO Severe Pneumonia","571 (16.9%)","29 (4.5%)","98 (12.6%)","389 (21.3%)","16 (48.5%)","39 (39.0%)","<0.001"
"38","Sex","1363 (40.3%)","270 (42.3%)","321 (41.2%)","727 (39.7%)","10 (30.3%)","35 (35.0%)","0.39"
"39","SIRS Score","2.0 (1.0, 2.0)","1.0 (1.0, 2.0)","1.0 (1.0, 2.0)","2.0 (1.0, 3.0)","2.0 (1.0, 2.0)","2.0 (1.0, 3.0)","<0.001"
"40","Site: Rumah Sakit Umum Daerah Wates, Indonesia","186 (5.5%)","69 (10.8%)","30 (3.9%)","87 (4.8%)","0 (0.0%)","0 (0.0%)","<0.001"
"41","Site: Angkor Hospital, Cambodia","816 (24.1%)","165 (25.9%)","273 (35.0%)","342 (18.7%)","5 (15.2%)","31 (31.0%)","<0.001"
"42","Site: Salavan Provincial Hospital, Laos","205 (6.1%)","84 (13.2%)","58 (7.4%)","63 (3.4%)","0 (0.0%)","0 (0.0%)","<0.001"
"43","Site: Savannakhet Provincial Hospital, Laos","77 (2.3%)","29 (4.5%)","15 (1.9%)","33 (1.8%)","0 (0.0%)","0 (0.0%)","<0.001"
"44","Site: Dong Nai Childrens Hospital, Viet Nam","938 (27.8%)","136 (21.3%)","121 (15.5%)","649 (35.5%)","3 (9.1%)","29 (29.0%)","<0.001"
"45","Site: National Childrens Hospital, Viet Nam","611 (18.1%)","0 (0.0%)","159 (20.4%)","426 (23.3%)","2 (6.1%)","24 (24.0%)","<0.001"
"46","STREM1 (pg/ml)","230.0 (169.0, 331.2)","192.0 (150.0, 252.0)","233.0 (172.0, 317.5)","240.0 (175.0, 347.0)","368.0 (270.0, 607.0)","379.0 (273.0, 541.2)","<0.001"
"47","Stunting","656 (19.4%)","114 (17.9%)","147 (18.9%)","360 (19.7%)","13 (39.4%)","22 (22.0%)","0.04"
"48","suPAR (ng/ml)","4.2 (3.4, 5.2)","4.1 (3.3, 5.0)","4.0 (3.2, 5.0)","4.2 (3.4, 5.3)","5.1 (4.4, 7.5)","5.4 (3.9, 7.9)","<0.001"
"49","Non-Respiratory Syndrome","1822 (53.9%)","397 (62.2%)","334 (42.9%)","1002 (54.8%)","24 (72.7%)","65 (65.0%)","<0.001"
"50","Respiratory Syndrome","1822 (53.9%)","397 (62.2%)","334 (42.9%)","1002 (54.8%)","24 (72.7%)","65 (65.0%)","<0.001"
"51","TNFR1 (pg/ml)","1580.0 (1257.8, 2054.2)","1360.0 (1114.0, 1665.0)","1515.0 (1218.5, 1883.5)","1688.0 (1341.0, 2214.0)","2267.0 (1568.0, 3166.5)","2094.0 (1526.8, 3152.0)","<0.001"
"52","Travel Time to Study Site","2755 (81.5%)","603 (94.5%)","625 (80.2%)","1432 (78.3%)","28 (84.8%)","67 (67.0%)","<0.001"
"53","Upper Respiratory Tract Infection","1113 (32.9%)","344 (53.9%)","194 (24.9%)","536 (29.3%)","4 (12.1%)","35 (35.0%)","<0.001"
"54","VEGFR1 (pg/ml)","186.0 (150.0, 235.0)","161.0 (129.0, 199.0)","181.0 (144.0, 227.0)","193.0 (160.0, 242.0)","301.0 (233.5, 488.5)","245.0 (202.0, 366.8)","<0.001"
"55","Intractable Vomiting","682 (20.2%)","59 (9.3%)","189 (24.3%)","392 (21.4%)","10 (30.3%)","32 (32.0%)","<0.001"
"56","Wasting","580 (17.2%)","104 (16.3%)","130 (16.8%)","312 (17.1%)","12 (36.4%)","22 (22.2%)","0.03"
"57","Weight for Age Z-Score","-0.8 (-1.7, 0.1)","-0.9 (-1.8, -0.1)","-0.9 (-1.7, 0.1)","-0.8 (-1.7, 0.1)","-2.2 (-3.3, -0.8)","-0.9 (-2.1, 0.0)","<0.001"
"58","Site: Goyalmara Mother and Child Hospital, Bangladesh","546 (16.2%)","155 (24.3%)","123 (15.8%)","229 (12.5%)","23 (69.7%)","16 (16.0%)","<0.001"
